gene,mean_expression,n_reference_samples
ADCY9,0.0044631114732898575,5
ADCYAP1,0.0006153224565525275,5
ADCYAP1R1,0.00024144861522016036,5
ADD1,0.026807575573875288,5
ADD2,0.0006575791321849743,5
ADD3,0.03093224820470557,5
ADGB,0.0013515521658051467,5
ADGRA1,0.00018276599773426756,5
ADGRA2,0.004399057689036728,5
ADGRA3,0.004851447210896159,5
ADGRB1,0.0005439407683007992,5
ADGRB2,0.0006906277722023638,5
ADGRB3,0.0006330987710543441,5
ADGRD1,0.00317627817202212,5
ADGRD2,0.0002135468172135749,5
ADGRE1,0.00035027240894243666,5
ADGRE2,0.0011519904052308498,5
ADGRE3,0.0005225219595746281,5
ADGRE5,0.01581798042028603,5
ADGRF1,0.0025025884519174306,5
ADGRF2,0.0002651243243442799,5
ADGRF3,0.00024540376471433113,5
ADGRF4,0.00041335972416013667,5
ADGRF5,0.021980546769521735,5
ADGRG1,0.011392979924403237,5
ADGRG2,0.00036177535034921746,5
ADGRG3,0.000248850050188355,5
ADGRG4,0.00018801624176414033,5
ADGRG5,0.0013223674508169906,5
ADGRG6,0.021332970806125152,5
ADGRG7,0.0023065180615953165,5
ADGRL1,0.0026237961203392874,5
ADGRL2,0.01397261791071765,5
ADGRL3,0.001643898269003965,5
ADGRL4,0.0036946958492256876,5
ADGRV1,0.002220102190680137,5
ADH1A,0.00011751988384539269,5
ADH1B,0.00833834248742126,5
ADH1C,0.0013770734957872402,5
ADH4,0.00022827461290987155,5
ADH5,0.011211631798967355,5
ADH6,0.0004707567280790007,5
ADH7,0.00020874402925398134,5
ADHFE1,0.0027107295044267823,5
ADI1,0.03606823344862865,5
ADIG,0.00025639880999635126,5
ADIPOQ,0.00011563399480361912,5
ADIPOR1,0.018674989472515925,5
ADIPOR2,0.005417978928255698,5
ADIRF,0.024136696188290188,5
ADK,0.01779076499991014,5
ADM,0.0034748543610534236,5
ADM2,0.0006839049663476583,5
ADM5,0.001287273297687073,5
ADNP,0.00570540226729157,5
ADNP2,0.004382427272528594,5
ADO,0.003431060084155292,5
ADORA1,0.0010169506115850191,5
ADORA2A,0.0017099009915802362,5
ADORA2B,0.0007222815654099651,5
ADORA3,0.0008097919716151803,5
ADPGK,0.012755123557718035,5
ADPRH,0.0030403091522774304,5
ADPRHL1,0.0005174710044876868,5
ADPRHL2,0.007291550760381497,5
ADPRM,0.0015732926016540794,5
ADRA1A,0.001761679153086556,5
ADRA1B,0.0009076320768104778,5
ADRA1D,0.0002724421365349871,5
ADRA2A,0.0022809772854611742,5
ADRA2B,0.00048723522549121487,5
ADRA2C,0.0006467795741551444,5
ADRB1,0.002648785637311483,5
ADRB2,0.006615675766168498,5
ADRB3,0.0003977138224149399,5
ADRM1,0.013265625138366367,5
ADSL,0.008916075481446888,5
ADSS,0.011305962722624673,5
ADSSL1,0.001227559246424409,5
ADTRP,0.0011450819997255739,5
AEBP1,0.030053574826102776,5
AEBP2,0.01488983787882813,5
AEN,0.002684960634505142,5
AFAP1,0.004644828791409374,5
AFAP1L1,0.003104660214885909,5
AFAP1L2,0.002812045572366484,5
AFDN,0.024745209865432376,5
AFF1,0.018128983481290623,5
AFF2,0.004034985034345866,5
AFF3,0.0024709712445500727,5
AFF4,0.02257930246455683,5
AFG1L,0.0020020512020325126,5
AFG3L2,0.010694160987446103,5
AFM,0.00016455986093071002,5
AFP,5.449430816207818e-05,5
AFTPH,0.012027101678276638,5
AGA,0.007386167637345996,5
AGAP1,0.012351660957491347,5
AGAP2,0.003229490313582794,5
AGAP3,0.007901987573633067,5
AGBL1,0.0028008294602079676,5
AGBL2,0.002606308784295305,5
AGBL3,0.0005016784485472346,5
AGBL4,0.0012048852038391439,5
AGBL5,0.0056917412187016,5
AGER,0.09190979940682598,5
AGFG1,0.0258037305097198,5
AGFG2,0.004075726383495208,5
AGGF1,0.009312321266881736,5
AGK,0.0026062164228598445,5
AGL,0.005944061296496177,5
AGMAT,0.0023907015510660026,5
AGMO,0.002285046910800896,5
AGO1,0.01047874811971294,5
AGO2,0.010862598000480445,5
AGO3,0.00710318054842273,5
AGO4,0.00988813374223203,5
AGPAT1,0.012424730069223644,5
AGPAT2,0.01010607431238081,5
AGPAT3,0.012059335737254206,5
AGPAT4,0.002680809471570939,5
AGPAT5,0.006858068594372671,5
AGPS,0.011270716868044602,5
AGR2,0.055623575510336774,5
