sample,sample_name,stage,context,gene,n_cells,mean_expression,detection_fraction,status
GSM9237906,P4_AAH,AAH,all_cells,PLA2G7,5613,0.07649964376454217,0.048458934616069836,present
GSM9237906,P4_AAH,AAH,all_cells,IL1B,5613,0.03026071278732091,0.023694993764475324,present
GSM9237906,P4_AAH,AAH,all_cells,TNF,5613,0.11075259291211195,0.0687689292713344,present
GSM9237906,P4_AAH,AAH,all_cells,CXCL8,5613,0.020629349959001175,0.01300552289328345,present
GSM9237906,P4_AAH,AAH,epithelial,MIF,1712,0.4023436197533906,0.2850467289719626,present
GSM9237906,P4_AAH,AAH,epithelial,CD74,1712,3.535956564800057,0.945677570093458,present
GSM9237906,P4_AAH,AAH,epithelial,CD44,1712,1.6000445939630537,0.6600467289719626,present
GSM9237906,P4_AAH,AAH,epithelial,CXCR4,1712,0.2371568608129334,0.12324766355140188,present
GSM9237906,P4_AAH,AAH,epithelial,SPP1,1712,0.004468179857008596,0.0029205607476635513,present
GSM9237906,P4_AAH,AAH,epithelial,TREM2,1712,0.039400206120602105,0.028037383177570093,present
GSM9237906,P4_AAH,AAH,epithelial,PLA2G7,1712,0.019406375297993207,0.015771028037383176,present
GSM9237906,P4_AAH,AAH,epithelial,IL1B,1712,0.00468771987518297,0.0035046728971962616,present
GSM9237906,P4_AAH,AAH,epithelial,TNF,1712,0.054875851972040486,0.03271028037383177,present
GSM9237906,P4_AAH,AAH,epithelial,CXCL8,1712,0.014260109806412718,0.008177570093457943,present
GSM9237906,P4_AAH,AAH,macrophage,MIF,833,0.2964218031897424,0.28811524609843936,present
GSM9237906,P4_AAH,AAH,macrophage,CD74,833,5.125662430668016,0.9891956782713085,present
GSM9237906,P4_AAH,AAH,macrophage,CD44,833,1.8509543126412262,0.7130852340936374,present
GSM9237906,P4_AAH,AAH,macrophage,CXCR4,833,0.644211143572982,0.39255702280912363,present
GSM9237906,P4_AAH,AAH,macrophage,SPP1,833,0.01769533022217213,0.015606242496998799,present
GSM9237906,P4_AAH,AAH,macrophage,TREM2,833,0.7444857029052735,0.42737094837935174,present
GSM9237906,P4_AAH,AAH,macrophage,PLA2G7,833,0.4002364529166843,0.2460984393757503,present
GSM9237906,P4_AAH,AAH,macrophage,IL1B,833,0.15362327250503072,0.12965186074429771,present
GSM9237906,P4_AAH,AAH,macrophage,TNF,833,0.1553723902624565,0.1524609843937575,present
GSM9237906,P4_AAH,AAH,macrophage,CXCL8,833,0.07635277698908877,0.057623049219687875,present
GSM9237907,P4_AAH1,AAH,all_cells,MIF,14058,0.2889209686771244,0.17690994451557832,present
GSM9237907,P4_AAH1,AAH,all_cells,CD74,14058,3.4357214972401464,0.897709489258785,present
GSM9237907,P4_AAH1,AAH,all_cells,CD44,14058,1.4900032424430496,0.5865699245980937,present
GSM9237907,P4_AAH1,AAH,all_cells,CXCR4,14058,0.4196705449825481,0.18651301749893298,present
GSM9237907,P4_AAH1,AAH,all_cells,SPP1,14058,0.0038239344791912238,0.0026319533361786884,present
GSM9237907,P4_AAH1,AAH,all_cells,TREM2,14058,0.1342276035612165,0.07405036278275715,present
GSM9237907,P4_AAH1,AAH,all_cells,PLA2G7,14058,0.05801468894556855,0.03378859012661829,present
GSM9237907,P4_AAH1,AAH,all_cells,IL1B,14058,0.025557508167280835,0.015293782899416701,present
GSM9237907,P4_AAH1,AAH,all_cells,TNF,14058,0.0801315906314202,0.04339166310997297,present
GSM9237907,P4_AAH1,AAH,all_cells,CXCL8,14058,0.03452435735080642,0.01792573623559539,present
GSM9237907,P4_AAH1,AAH,epithelial,MIF,5905,0.34545723677920803,0.22049110922946655,present
GSM9237907,P4_AAH1,AAH,epithelial,CD74,5905,3.5844977091619215,0.9378492802709568,present
GSM9237907,P4_AAH1,AAH,epithelial,CD44,5905,1.6452242156997856,0.6648602878916172,present
GSM9237907,P4_AAH1,AAH,epithelial,CXCR4,5905,0.32550069629476114,0.14191363251481795,present
GSM9237907,P4_AAH1,AAH,epithelial,SPP1,5905,0.001694381711196184,0.0010160880609652837,present
GSM9237907,P4_AAH1,AAH,epithelial,TREM2,5905,0.039107868266612444,0.02472480948348857,present
GSM9237907,P4_AAH1,AAH,epithelial,PLA2G7,5905,0.017782540975557846,0.010668924640135479,present
GSM9237907,P4_AAH1,AAH,epithelial,IL1B,5905,0.010999804656006805,0.00558848433530906,present
GSM9237907,P4_AAH1,AAH,epithelial,TNF,5905,0.05613774424168446,0.029297205757832345,present
GSM9237907,P4_AAH1,AAH,epithelial,CXCL8,5905,0.019724574280957186,0.010330228619813718,present
