observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,status,sample,sample_name,stage,source,target,quantile,radius_multiplier,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction,axis_id,axis_label,evidence_type,gene_panel,genes
0.5925329900225298,0.3568554876086257,0.010201672578363286,0.23567750241390412,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,mif_cd74_cxcr4_source,0.75,1.0,12427,3107,2466,1260,0.40553588670743485,0.6224655312246553,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF
0.7434824589636305,0.4358545220469907,0.009450130888401046,0.3076279369166398,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,mif_cd74_cxcr4_target,0.75,1.0,12427,3107,3107,2064,0.664306404892179,0.762149983907306,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44"
0.3295783714193756,0.2434052140328291,0.008206540147651577,0.08617315738654652,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,cxcl9_cxcl10_cxcr3_source,0.75,1.0,12427,3107,1624,663,0.21338912133891214,0.5258620689655172,cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,source_near_epithelial_progenitor,source,"CXCL9,CXCL10"
0.1486964917927261,0.08447055037013194,0.005574555385596163,0.06422594142259415,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,cxcl9_cxcl10_cxcr3_target,0.75,1.0,12427,3107,529,258,0.08303830061152237,0.5784499054820416,cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,target_near_epithelial_progenitor,target,CXCR3
0.5674379232505643,0.38626128668171555,0.007721329831317708,0.18117663656884875,0.009900990099009901,1.0,100,395.8307719215372,ok,GSM9226194,P12_LUAD,LUAD,epithelial_progenitor_like,spp1_trem2_macrophage_epithelial_source,0.75,1.0,14177,3544,3544,1615,0.4556997742663657,0.5338600451467269,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3"
0.7110609480812641,0.38707674943566595,0.008055811796310496,0.32398419864559813,0.009900990099009901,1.0,100,395.8307719215372,ok,GSM9226194,P12_LUAD,LUAD,epithelial_progenitor_like,spp1_trem2_macrophage_epithelial_target,0.75,1.0,14177,3544,3544,2203,0.6216139954853274,0.6729683972911964,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,target_near_epithelial_progenitor,target,"CD44,ITGAV,ITGB1,ITGA5"
0.47714446952595935,0.3869328442437922,0.008655008668412208,0.09021162528216714,0.009900990099009901,1.0,100,395.8307719215372,ok,GSM9226194,P12_LUAD,LUAD,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_source,0.75,1.0,14177,3544,3544,1249,0.35242663656884876,0.41055304740406323,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,source_near_epithelial_progenitor,source,"IL1B,TNF,CXCL8,CCL3,CCL4,NLRP3"
0.6111738148984198,0.38788939051918736,0.008785743488394665,0.22328442437923246,0.009900990099009901,1.0,100,395.8307719215372,ok,GSM9226194,P12_LUAD,LUAD,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_target,0.75,1.0,14177,3544,3544,1769,0.4991534988713318,0.536117381489842,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,target_near_epithelial_progenitor,target,"IL1R1,IL1RAP,NFKBIA"
0.5152370203160271,0.386357223476298,0.009610043513346609,0.12887979683972917,0.009900990099009901,1.0,100,395.8307719215372,ok,GSM9226194,P12_LUAD,LUAD,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_source,0.75,1.0,14177,3544,3544,1446,0.40801354401805867,0.48306997742663654,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO"
0.6915914221218962,0.3861907449209932,0.008211562896047324,0.30540067720090297,0.009900990099009901,1.0,100,395.8307719215372,ok,GSM9226194,P12_LUAD,LUAD,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_target,0.75,1.0,14177,3544,3544,2123,0.5990406320541761,0.6523702031602708,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44"
