stages,run_id,random_seed,min_abs_correlation,display_rank,broad_class,target_gene,top_impacted_signature,n_present_genes,present_genes,top_signature_mean_impact,top_signature_max_impact,top_signature_sum_impact,top_impacted_genes
"LUAD,MIA",seed7_corr0.05,7,0.05,4,macrophage,CD74,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.015084327227737499,0.03835327214782886,0.30168654455474997,"C1QA,C1QB,C1QC,APOE,ACP5"
"LUAD,MIA",seed7_corr0.05,7,0.05,5,epithelial,MIF,proliferating_epithelial_vs_other_epithelial,20,"PCNA,TOP2A,MKI67,STMN1,CKS1B,TK1,TYMS,UBE2T,DEK,NUCKS1,UBE2C,CARHSP1,HMGB2,HMGB3,SIVA1,MYBL2,ECI1,NUSAP1,TMEM106C,DUT",0.012472313350080968,0.019071199215542574,0.24944626700161937,"MDK,EPCAM,KRT8,CD24,PERP"
"LUAD,MIA",seed7_corr0.05,7,0.05,6,macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,13,"SPP1,CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.012101285284051473,0.03915599366940935,0.15731670869266914,"PRDM1,GPR183,ADAMDEC1,PLA2G7,APOE"
"LUAD,MIA",seed7_corr0.05,7,0.05,7,macrophage,SPP1,spp1_macrophage_vs_other_macrophage,12,"CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.010222136628952027,0.03500079222431019,0.12266563954742432,"MIF,ANXA2,TREM2,G0S2,CAMK1"
"LUAD,MIA",seed7_corr0.08,7,0.08,1,macrophage,CD44,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.021523761525736717,0.03175010654197988,0.43047523051473435,"MARCO,MCEMP1,INHBA,LTA4H,PPARG"
"LUAD,MIA",seed7_corr0.08,7,0.08,2,macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,11,"SPP1,CHIT1,HAMP,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.019331570833106354,0.03521008633141702,0.2126472791641699,"APOE,ACP5,APOC1,CHIT1,CYP27A1"
"LUAD,MIA",seed7_corr0.08,7,0.08,3,macrophage,TREM2,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.019126485113722013,0.03700617555696081,0.3825297022744403,"APOE,APOC1,ACP5,CYP27A1,LGALS3"
"LUAD,MIA",seed7_corr0.08,7,0.08,4,macrophage,CD74,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.015946595503819914,0.04377030220842822,0.31893191007639826,"C1QA,C1QB,C1QC,APOE,ACP5"
"LUAD,MIA",seed7_corr0.08,7,0.08,5,macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,12,"SPP1,CHIT1,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.014761298966545766,0.057318552687671484,0.1771355875985492,"GPR183,PRDM1,ADAMDEC1,PLA2G7,APOE"
"LUAD,MIA",seed7_corr0.08,7,0.08,6,epithelial,MIF,proliferating_epithelial_vs_other_epithelial,20,"PCNA,TOP2A,MKI67,STMN1,CKS1B,TK1,TYMS,UBE2T,DEK,NUCKS1,UBE2C,CARHSP1,HMGB2,HMGB3,SIVA1,MYBL2,ECI1,NUSAP1,TMEM106C,DUT",0.013665794240874815,0.0219981124942875,0.2733158848174963,"MDK,EPCAM,CD24,KRT8,PERP"
"LUAD,MIA",seed7_corr0.08,7,0.08,7,macrophage,SPP1,spp1_macrophage_vs_other_macrophage,11,"CHIT1,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.010653636417135869,0.058980355569874486,0.11719000058849456,"MIF,ANXA2,TREM2,G0S2,CAMK1"
"LUAD,MIA",seed11_corr0.03,11,0.03,1,macrophage,TREM2,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.017603715110088576,0.030676332540145627,0.35207430220177155,"APOE,APOC1,ACP5,CYP27A1,C1QB"
"LUAD,MIA",seed11_corr0.03,11,0.03,2,macrophage,CD44,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.016385062188851534,0.024350163677516985,0.3277012437770307,"MARCO,MCEMP1,LTA4H,PPARG,INHBA"
"LUAD,MIA",seed11_corr0.03,11,0.03,3,macrophage,CD74,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.014474875975903531,0.03569929175262683,0.2894975195180706,"C1QA,C1QB,C1QC,APOE,ACP5"
"LUAD,MIA",seed11_corr0.03,11,0.03,4,macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,13,"SPP1,CHIT1,OTOA,HAMP,HBB,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.014208618271496973,0.03023267722337277,0.18471203752946067,"APOE,ACP5,APOC1,CHIT1,CYP27A1"
"LUAD,MIA",seed11_corr0.03,11,0.03,5,epithelial,MIF,proliferating_epithelial_vs_other_epithelial,20,"PCNA,TOP2A,MKI67,STMN1,CKS1B,TK1,TYMS,UBE2T,DEK,NUCKS1,UBE2C,CARHSP1,HMGB2,HMGB3,SIVA1,MYBL2,ECI1,NUSAP1,TMEM106C,DUT",0.012048911786020033,0.018162750583355834,0.24097823572040064,"MDK,EPCAM,PERP,KRT8,CD24"
"LUAD,MIA",seed11_corr0.03,11,0.03,6,macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,14,"SPP1,CHIT1,OTOA,HAMP,HBB,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.009972023230929104,0.029721672685983545,0.13960832523300745,"GPR183,PRDM1,ADAMDEC1,PLA2G7,PDE4B"
