observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,status,sample,sample_name,stage,source,target,quantile,radius_multiplier,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction
0.33503092033466714,0.6145434703528556,0.010937378974241838,-0.2795125500181885,1.0,0.009900990099009901,100,397.4128835354989,ok,GSM9226171,P2_LUAD,LUAD,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,10995,2749,2749,379,0.13786831575118225,0.35467442706438707
0.3721353219352492,0.6165405602037105,0.011135022513973114,-0.24440523826846133,1.0,0.009900990099009901,100,397.4128835354989,ok,GSM9226171,P2_LUAD,LUAD,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,10995,2749,2749,441,0.16042197162604582,0.3710440160058203
0.5016369588941433,0.5331720625682066,0.010553875724408626,-0.031535103674063314,1.0,0.009900990099009901,100,397.4128835354989,ok,GSM9226171,P2_LUAD,LUAD,epithelial_progenitor_like,resident_macrophage,0.75,1.0,10995,2749,2238,535,0.19461622408148418,0.4477211796246649
0.1064684612294094,0.40132985134592203,0.010300585032060322,-0.29486139011651263,1.0,0.009900990099009901,100,395.5477215204254,ok,GSM9226172,P3_AIS,AIS,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,9954,2489,2489,176,0.07071112896745681,0.12053033346725593
0.13218159903575732,0.4009521896343913,0.010211455789489591,-0.26877059059863395,1.0,0.009900990099009901,100,395.5477215204254,ok,GSM9226172,P3_AIS,AIS,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,9954,2489,2489,197,0.07914825231016473,0.12856568903173965
0.11972679791080755,0.3991000401767778,0.009374671932692882,-0.27937324226597027,1.0,0.009900990099009901,100,395.5477215204254,ok,GSM9226172,P3_AIS,AIS,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,9954,2489,2489,193,0.07754118119726798,0.1265568501406187
0.1478505423865006,0.3999035757332262,0.01052007785096318,-0.2520530333467256,1.0,0.009900990099009901,100,395.5477215204254,ok,GSM9226172,P3_AIS,AIS,epithelial_progenitor_like,resident_macrophage,0.75,1.0,9954,2489,2489,190,0.07633587786259542,0.12494977902772197
0.37583705357142855,0.46651506696428563,0.009586587644480019,-0.09067801339285708,1.0,0.009900990099009901,100,396.0467144163678,ok,GSM9226173,P3_LUAD,LUAD,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,14336,3584,3584,880,0.24553571428571427,0.35239955357142855
0.33482142857142855,0.4670731026785714,0.009183729974510006,-0.13225167410714284,1.0,0.009900990099009901,100,396.0467144163678,ok,GSM9226173,P3_LUAD,LUAD,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,14336,3584,3584,762,0.21261160714285715,0.330078125
0.25558035714285715,0.4679380580357143,0.008935270892355785,-0.21235770089285716,1.0,0.009900990099009901,100,396.0467144163678,ok,GSM9226173,P3_LUAD,LUAD,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,14336,3584,3584,530,0.14787946428571427,0.24972098214285715
0.2720424107142857,0.46578404017857145,0.009995566057263263,-0.19374162946428575,1.0,0.009900990099009901,100,396.0467144163678,ok,GSM9226173,P3_LUAD,LUAD,epithelial_progenitor_like,resident_macrophage,0.75,1.0,14336,3584,3584,466,0.13002232142857142,0.22433035714285715
0.39260450160771704,0.38903858520900314,0.009219401078183777,0.0035659163987138975,0.36633663366336633,0.6435643564356436,100,395.9191836726278,ok,GSM9226175,P4_AAH1,AAH,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,12441,3110,3110,803,0.2581993569131833,0.3710610932475884
0.4305466237942122,0.3886527331189711,0.007509955270066858,0.04189389067524113,0.009900990099009901,1.0,100,395.9191836726278,ok,GSM9226175,P4_AAH1,AAH,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,12441,3110,3110,1054,0.3389067524115756,0.4617363344051447
0.442443729903537,0.3894340836012862,0.007512141692709375,0.0530096463022508,0.009900990099009901,1.0,100,395.9191836726278,ok,GSM9226175,P4_AAH1,AAH,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,12441,3110,3110,947,0.3045016077170418,0.4112540192926045
0.4135048231511254,0.3888424437299035,0.00747639498747235,0.024662379421221903,0.009900990099009901,1.0,100,395.9191836726278,ok,GSM9226175,P4_AAH1,AAH,epithelial_progenitor_like,resident_macrophage,0.75,1.0,12441,3110,3110,865,0.27813504823151125,0.3945337620578778
0.3760572543916721,0.40169811320754717,0.00821613998919637,-0.02564085881587508,1.0,0.009900990099009901,100,382.47222121351507,ok,GSM9226176,P4_AAH2,AAH,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,12295,3074,3074,741,0.24105400130123616,0.3428757319453481
