sample,sample_name,stage,context,score,n_cells,mean_score
GSM9237906,P4_AAH,AAH,macrophage,refined_epithelial_progenitor_like,833,0.2166938371742919
GSM9237906,P4_AAH,AAH,macrophage,refined_spp1_macrophage,833,0.19400579604803034
GSM9237906,P4_AAH,AAH,macrophage,refined_c1q_macrophage,833,0.7877956335661866
GSM9237906,P4_AAH,AAH,macrophage,refined_inflammatory_macrophage,833,0.23081808376499627
GSM9237907,P4_AAH1,AAH,all_cells,epithelial,14058,1.3946339147381999
GSM9237907,P4_AAH1,AAH,all_cells,macrophage,14058,0.560922308315554
GSM9237907,P4_AAH1,AAH,all_cells,epithelial_progenitor_like,14058,0.6010110017556589
GSM9237907,P4_AAH1,AAH,all_cells,spp1_macrophage,14058,0.6398432145437535
GSM9237907,P4_AAH1,AAH,all_cells,c1q_macrophage,14058,0.6765114194777685
GSM9237907,P4_AAH1,AAH,all_cells,inflammatory_macrophage,14058,0.19823440764644698
GSM9237907,P4_AAH1,AAH,all_cells,refined_epithelial_progenitor_like,14058,0.3712470665567329
GSM9237907,P4_AAH1,AAH,all_cells,refined_spp1_macrophage,14058,0.136065873977508
GSM9237907,P4_AAH1,AAH,all_cells,refined_c1q_macrophage,14058,0.3365973174501465
GSM9237907,P4_AAH1,AAH,all_cells,refined_inflammatory_macrophage,14058,0.16092445802376534
GSM9237907,P4_AAH1,AAH,epithelial,epithelial,5905,2.0883425855898583
GSM9237907,P4_AAH1,AAH,epithelial,macrophage,5905,0.3044467024751779
GSM9237907,P4_AAH1,AAH,epithelial,epithelial_progenitor_like,5905,1.1084272913383593
GSM9237907,P4_AAH1,AAH,epithelial,spp1_macrophage,5905,0.6103780409846236
GSM9237907,P4_AAH1,AAH,epithelial,c1q_macrophage,5905,0.35987895693972294
GSM9237907,P4_AAH1,AAH,epithelial,inflammatory_macrophage,5905,0.20306048014895461
GSM9237907,P4_AAH1,AAH,epithelial,refined_epithelial_progenitor_like,5905,0.5695984838503477
GSM9237907,P4_AAH1,AAH,epithelial,refined_spp1_macrophage,5905,0.15713955386649553
GSM9237907,P4_AAH1,AAH,epithelial,refined_c1q_macrophage,5905,0.32187167222803775
GSM9237907,P4_AAH1,AAH,epithelial,refined_inflammatory_macrophage,5905,0.1484599484239054
GSM9237907,P4_AAH1,AAH,macrophage,epithelial,1788,0.8100526212061752
GSM9237907,P4_AAH1,AAH,macrophage,macrophage,1788,2.194899239993493
GSM9237907,P4_AAH1,AAH,macrophage,epithelial_progenitor_like,1788,0.1766304356070364
GSM9237907,P4_AAH1,AAH,macrophage,spp1_macrophage,1788,1.4282902220840552
GSM9237907,P4_AAH1,AAH,macrophage,c1q_macrophage,1788,2.68079293850187
GSM9237907,P4_AAH1,AAH,macrophage,inflammatory_macrophage,1788,0.33297199417306916
GSM9237907,P4_AAH1,AAH,macrophage,refined_epithelial_progenitor_like,1788,0.2131273111993772
GSM9237907,P4_AAH1,AAH,macrophage,refined_spp1_macrophage,1788,0.18541714715116428
GSM9237907,P4_AAH1,AAH,macrophage,refined_c1q_macrophage,1788,0.752774104513425
GSM9237907,P4_AAH1,AAH,macrophage,refined_inflammatory_macrophage,1788,0.24618935217367202
GSM9237908,P4_LUAD,LUAD,all_cells,epithelial,41638,1.2944780005346386
GSM9237908,P4_LUAD,LUAD,all_cells,macrophage,41638,0.6038975088430492
GSM9237908,P4_LUAD,LUAD,all_cells,epithelial_progenitor_like,41638,0.8184785905649868
GSM9237908,P4_LUAD,LUAD,all_cells,spp1_macrophage,41638,0.7600429304527959
GSM9237908,P4_LUAD,LUAD,all_cells,c1q_macrophage,41638,0.7219610170008169
GSM9237908,P4_LUAD,LUAD,all_cells,inflammatory_macrophage,41638,0.20217530371360093
GSM9237908,P4_LUAD,LUAD,all_cells,refined_epithelial_progenitor_like,41638,0.5012438795157773
GSM9237908,P4_LUAD,LUAD,all_cells,refined_spp1_macrophage,41638,0.17830126435429394
GSM9237908,P4_LUAD,LUAD,all_cells,refined_c1q_macrophage,41638,0.37528173319138974
GSM9237908,P4_LUAD,LUAD,all_cells,refined_inflammatory_macrophage,41638,0.16800587485810353
GSM9237908,P4_LUAD,LUAD,epithelial,epithelial,17517,1.9894263234543237
GSM9237908,P4_LUAD,LUAD,epithelial,macrophage,17517,0.35998077979647175
GSM9237908,P4_LUAD,LUAD,epithelial,epithelial_progenitor_like,17517,1.4558457756297514
GSM9237908,P4_LUAD,LUAD,epithelial,spp1_macrophage,17517,0.8217507918259237
GSM9237908,P4_LUAD,LUAD,epithelial,c1q_macrophage,17517,0.43059332275889506
GSM9237908,P4_LUAD,LUAD,epithelial,inflammatory_macrophage,17517,0.20412382651848962
GSM9237908,P4_LUAD,LUAD,epithelial,refined_epithelial_progenitor_like,17517,0.7890118108227101
