sample,sample_name,stage,context,score,n_cells,mean_score
GSM5019487,GSM5019487_HYS-A,Adjacent,all_cells,refined_epithelial_progenitor_like,5529,0.1710081718220509
GSM5019487,GSM5019487_HYS-A,Adjacent,all_cells,refined_spp1_macrophage,5529,0.07773798714182693
GSM5019487,GSM5019487_HYS-A,Adjacent,all_cells,refined_c1q_macrophage,5529,0.41647595573227547
GSM5019487,GSM5019487_HYS-A,Adjacent,all_cells,refined_inflammatory_macrophage,5529,0.3360545425546014
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,epithelial,211,1.4368171951430875
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,macrophage,211,0.24953269531174493
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,epithelial_progenitor_like,211,1.1646705713390975
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,spp1_macrophage,211,0.8406646412390862
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,c1q_macrophage,211,0.3529084163416641
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,inflammatory_macrophage,211,0.21340235745586666
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,refined_epithelial_progenitor_like,211,0.8090836928730583
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,refined_spp1_macrophage,211,0.15813742198852213
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,refined_c1q_macrophage,211,0.2716243746156878
GSM5019487,GSM5019487_HYS-A,Adjacent,epithelial,refined_inflammatory_macrophage,211,0.09244317430620849
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,epithelial,1567,0.08351614301569453
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,macrophage,1567,1.8409478529052183
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,epithelial_progenitor_like,1567,0.02051738109547133
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,spp1_macrophage,1567,1.3580317274670208
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,c1q_macrophage,1567,2.262497430891455
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,inflammatory_macrophage,1567,0.799999829091781
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,refined_epithelial_progenitor_like,1567,0.1999214968801067
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,refined_spp1_macrophage,1567,0.10839020807181866
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,refined_c1q_macrophage,1567,1.0062664371925085
GSM5019487,GSM5019487_HYS-A,Adjacent,macrophage,refined_inflammatory_macrophage,1567,0.2972142652850042
GSM5019488,GSM5019488_HYS-T,Tumor,all_cells,epithelial,3649,0.5350974089602333
GSM5019488,GSM5019488_HYS-T,Tumor,all_cells,macrophage,3649,0.5556723534543155
GSM5019488,GSM5019488_HYS-T,Tumor,all_cells,epithelial_progenitor_like,3649,0.6024131097007445
GSM5019488,GSM5019488_HYS-T,Tumor,all_cells,spp1_macrophage,3649,0.5710680088357197
GSM5019488,GSM5019488_HYS-T,Tumor,all_cells,c1q_macrophage,3649,0.6116967042569116
GSM5019488,GSM5019488_HYS-T,Tumor,all_cells,inflammatory_macrophage,3649,0.4505500036084442
GSM5019488,GSM5019488_HYS-T,Tumor,all_cells,refined_epithelial_progenitor_like,3649,0.40121959867546386
GSM5019488,GSM5019488_HYS-T,Tumor,all_cells,refined_spp1_macrophage,3649,0.10939967762009542
GSM5019488,GSM5019488_HYS-T,Tumor,all_cells,refined_c1q_macrophage,3649,0.29037779087261306
GSM5019488,GSM5019488_HYS-T,Tumor,all_cells,refined_inflammatory_macrophage,3649,0.24887636552938863
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,epithelial,1104,1.4859893761215888
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,macrophage,1104,0.16889330507449982
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,epithelial_progenitor_like,1104,1.74773452357587
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,spp1_macrophage,1104,0.6285924592874672
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,c1q_macrophage,1104,0.1819839800099186
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,inflammatory_macrophage,1104,0.22766508969757288
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,refined_epithelial_progenitor_like,1104,0.9987229530986603
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,refined_spp1_macrophage,1104,0.1809118381868272
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,refined_c1q_macrophage,1104,0.23742072214690954
GSM5019488,GSM5019488_HYS-T,Tumor,epithelial,refined_inflammatory_macrophage,1104,0.11439871422724938
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,epithelial,835,0.10780173919125731
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,macrophage,835,1.6807927966746938
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,epithelial_progenitor_like,835,0.09946759912132239
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,spp1_macrophage,835,1.1283460073659033
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,c1q_macrophage,835,1.9415304073103012
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,inflammatory_macrophage,835,0.6643987540233357
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,refined_epithelial_progenitor_like,835,0.19190406461931311
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,refined_spp1_macrophage,835,0.13363067869892026
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,refined_c1q_macrophage,835,0.7477441826338301
GSM5019488,GSM5019488_HYS-T,Tumor,macrophage,refined_inflammatory_macrophage,835,0.28285277260636515
GSM5019489,GSM5019489_HYY-A1,Adjacent,all_cells,epithelial,4450,0.23460324728987236
GSM5019489,GSM5019489_HYY-A1,Adjacent,all_cells,macrophage,4450,0.812865067946823
GSM5019489,GSM5019489_HYY-A1,Adjacent,all_cells,epithelial_progenitor_like,4450,0.12448535939013619
GSM5019489,GSM5019489_HYY-A1,Adjacent,all_cells,spp1_macrophage,4450,0.6208689758741107
GSM5019489,GSM5019489_HYY-A1,Adjacent,all_cells,c1q_macrophage,4450,0.9593868063282961
GSM5019489,GSM5019489_HYY-A1,Adjacent,all_cells,inflammatory_macrophage,4450,0.677472322704887
GSM5019489,GSM5019489_HYY-A1,Adjacent,all_cells,refined_epithelial_progenitor_like,4450,0.17022214517537948
GSM5019489,GSM5019489_HYY-A1,Adjacent,all_cells,refined_spp1_macrophage,4450,0.0718746493444482
GSM5019489,GSM5019489_HYY-A1,Adjacent,all_cells,refined_c1q_macrophage,4450,0.41944075258759805
GSM5019489,GSM5019489_HYY-A1,Adjacent,all_cells,refined_inflammatory_macrophage,4450,0.3716192150221069
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,epithelial,359,1.3830350895356966
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,macrophage,359,0.22289519070005437
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,epithelial_progenitor_like,359,1.127329442974455
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,spp1_macrophage,359,0.5321985515666294
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,c1q_macrophage,359,0.23607187145381975
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,inflammatory_macrophage,359,0.3108949530673173
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,refined_epithelial_progenitor_like,359,0.7176024096187527
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,refined_spp1_macrophage,359,0.12870422484011423
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,refined_c1q_macrophage,359,0.22744344921079637
GSM5019489,GSM5019489_HYY-A1,Adjacent,epithelial,refined_inflammatory_macrophage,359,0.14617578670839612
GSM5019489,GSM5019489_HYY-A1,Adjacent,macrophage,epithelial,1556,0.11922047552779443
GSM5019489,GSM5019489_HYY-A1,Adjacent,macrophage,macrophage,1556,1.8159074101149897
GSM5019489,GSM5019489_HYY-A1,Adjacent,macrophage,epithelial_progenitor_like,1556,0.03562010347171362
GSM5019489,GSM5019489_HYY-A1,Adjacent,macrophage,spp1_macrophage,1556,1.2744937243711507
