Cell_type.refined,n_cells,mean_expression,median_expression,gene
,28437,0.008025248,0.0,COL1A2
B lymphocytes,27657,0.007555707,0.0,COL3A1
Endothelial cells,2107,0.029365709,0.0,COL3A1
Epithelial cells,36467,0.057326872,0.0,COL3A1
Fibroblasts,3794,1.8086488,1.3862944,COL3A1
MAST cells,3396,0.005306781,0.0,COL3A1
Myeloid cells,42245,0.017099246,0.0,COL3A1
T/NK cells,64403,0.004335731,0.0,COL3A1
,28437,0.007901759,0.0,COL3A1
B lymphocytes,27657,0.013639236,0.0,DCN
Endothelial cells,2107,0.050228115,0.0,DCN
Epithelial cells,36467,0.035272796,0.0,DCN
Fibroblasts,3794,3.739892,3.9607677,DCN
MAST cells,3396,0.01806546,0.0,DCN
Myeloid cells,42245,0.055557184,0.0,DCN
T/NK cells,64403,0.012182372,0.0,DCN
,28437,0.019150507,0.0,DCN
B lymphocytes,27657,0.012513198,0.0,LUM
Endothelial cells,2107,0.023717258,0.0,LUM
Epithelial cells,36467,0.023554258,0.0,LUM
Fibroblasts,3794,2.7574253,2.9957323,LUM
MAST cells,3396,0.015003856,0.0,LUM
Myeloid cells,42245,0.023225661,0.0,LUM
T/NK cells,64403,0.008002769,0.0,LUM
,28437,0.010391104,0.0,LUM
B lymphocytes,27657,0.0047642463,0.0,LAMP3
Endothelial cells,2107,0.011043203,0.0,LAMP3
Epithelial cells,36467,0.21070379,0.0,LAMP3
Fibroblasts,3794,0.012192848,0.0,LAMP3
MAST cells,3396,0.005222068,0.0,LAMP3
Myeloid cells,42245,0.03709248,0.0,LAMP3
T/NK cells,64403,0.005691034,0.0,LAMP3
,28437,0.0067191334,0.0,LAMP3
B lymphocytes,27657,0.0028466969,0.0,ABCA3
Endothelial cells,2107,0.03273608,0.0,ABCA3
Epithelial cells,36467,0.253971,0.0,ABCA3
Fibroblasts,3794,0.018703653,0.0,ABCA3
MAST cells,3396,0.006531422,0.0,ABCA3
Myeloid cells,42245,0.011347704,0.0,ABCA3
T/NK cells,64403,0.004000067,0.0,ABCA3
,28437,0.0072113257,0.0,ABCA3
B lymphocytes,27657,0.011878203,0.0,TACSTD2
Endothelial cells,2107,0.09059198,0.0,TACSTD2
Epithelial cells,36467,1.2621814,1.0986123,TACSTD2
Fibroblasts,3794,0.06535202,0.0,TACSTD2
MAST cells,3396,0.013452054,0.0,TACSTD2
Myeloid cells,42245,0.06738543,0.0,TACSTD2
T/NK cells,64403,0.0110878,0.0,TACSTD2
,28437,0.013810892,0.0,TACSTD2
B lymphocytes,27657,0.025113493,0.0,MKI67
Endothelial cells,2107,0.00418265,0.0,MKI67
Epithelial cells,36467,0.07881588,0.0,MKI67
Fibroblasts,3794,0.0061937636,0.0,MKI67
MAST cells,3396,0.0034258605,0.0,MKI67
Myeloid cells,42245,0.039801918,0.0,MKI67
T/NK cells,64403,0.01749367,0.0,MKI67
,28437,0.013260491,0.0,MKI67
B lymphocytes,27657,0.020086154,0.0,TOP2A
Endothelial cells,2107,0.0068278085,0.0,TOP2A
Epithelial cells,36467,0.13123812,0.0,TOP2A
Fibroblasts,3794,0.011504521,0.0,TOP2A
MAST cells,3396,0.005655691,0.0,TOP2A
Myeloid cells,42245,0.03724424,0.0,TOP2A
T/NK cells,64403,0.015357552,0.0,TOP2A
,28437,0.011377989,0.0,TOP2A
B lymphocytes,27657,0.06612418,0.0,PCNA
Endothelial cells,2107,0.14121264,0.0,PCNA
Epithelial cells,36467,0.26746076,0.0,PCNA
Fibroblasts,3794,0.19966458,0.0,PCNA
MAST cells,3396,0.04421787,0.0,PCNA
Myeloid cells,42245,0.18988828,0.0,PCNA
T/NK cells,64403,0.082197525,0.0,PCNA
,28437,0.07447461,0.0,PCNA
B lymphocytes,27657,0.09681885,0.0,LGALS3
Endothelial cells,2107,0.59277254,0.6931472,LGALS3
Epithelial cells,36467,1.7995895,1.609438,LGALS3
Fibroblasts,3794,1.3602064,1.3862944,LGALS3
MAST cells,3396,0.7348249,0.6931472,LGALS3
