Sample_Origin,Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
tLung,Fibroblasts,1654,0.07633443,0.0,0.17485607,t_nk
tLung,MAST cells,1809,0.056590978,0.0,0.117483385,t_nk
tLung,Myeloid cells,8794,0.1977321,0.11552453,0.22954427,t_nk
tLung,T/NK cells,13941,0.9123019,0.8654928,0.32043865,t_nk
tLung,,5742,0.5895988,0.52967566,0.35156438,t_nk
PE,B lymphocytes,3285,0.90992963,0.8553332,0.41732192,b_plasma
PE,Epithelial cells,396,0.11663503,0.0,0.18743618,b_plasma
PE,Myeloid cells,3063,0.047167838,0.0,0.1113155,b_plasma
PE,T/NK cells,9192,0.035489745,0.0,0.073993444,b_plasma
PE,,4368,0.08342207,0.0,0.21577066,b_plasma
mBrain,B lymphocytes,1311,0.9555716,0.79779685,0.67486835,b_plasma
mBrain,Endothelial cells,159,0.01998776,0.0,0.05982547,b_plasma
mBrain,Epithelial cells,15463,0.009546877,0.0,0.04357894,b_plasma
mBrain,Fibroblasts,444,0.034670446,0.0,0.08130439,b_plasma
mBrain,MAST cells,508,0.03381982,0.0,0.09414723,b_plasma
mBrain,Myeloid cells,5657,0.016669445,0.0,0.070399955,b_plasma
mBrain,T/NK cells,2683,0.040005416,0.0,0.08628907,b_plasma
mBrain,,2835,0.023162981,0.0,0.10403373,b_plasma
mLN,B lymphocytes,6062,0.865492,0.8050703,0.46824548,b_plasma
mLN,Epithelial cells,3053,0.05727831,0.0,0.13996129,b_plasma
mLN,Myeloid cells,5442,0.044486042,0.0,0.1569605,b_plasma
mLN,T/NK cells,5069,0.046168875,0.0,0.09742425,b_plasma
mLN,,1819,0.035109237,0.0,0.10187472,b_plasma
nLN,B lymphocytes,10584,0.87575746,0.81886894,0.47202852,b_plasma
nLN,Myeloid cells,1288,0.1679853,0.0,0.28677696,b_plasma
nLN,T/NK cells,19478,0.053181324,0.0,0.094638124,b_plasma
nLN,,6096,0.08267739,0.0,0.20624387,b_plasma
nLung,B lymphocytes,634,0.7753617,0.6591674,0.68181264,b_plasma
nLung,Endothelial cells,1295,0.012306848,0.0,0.062074445,b_plasma
nLung,Epithelial cells,3703,0.00914394,0.0,0.03917438,b_plasma
nLung,Fibroblasts,1585,0.007272897,0.0,0.037018765,b_plasma
nLung,MAST cells,1079,0.011788627,0.0,0.042866677,b_plasma
nLung,Myeloid cells,16672,0.013989091,0.0,0.054313943,b_plasma
nLung,T/NK cells,11413,0.01449235,0.0,0.04646716,b_plasma
nLung,,6614,0.01229493,0.0,0.059465222,b_plasma
tL/B,B lymphocytes,469,0.91874063,0.81886894,0.56818795,b_plasma
tL/B,Epithelial cells,6582,0.012555748,0.0,0.048354823,b_plasma
tL/B,Myeloid cells,1329,0.037586335,0.0,0.11809544,b_plasma
tL/B,T/NK cells,2627,0.036994882,0.0,0.08006105,b_plasma
tL/B,,963,0.029185398,0.0,0.07762281,b_plasma
tLung,B lymphocytes,5312,1.0090828,0.81886894,0.6693466,b_plasma
tLung,Endothelial cells,627,0.064101264,0.0,0.14224453,b_plasma
tLung,Epithelial cells,7270,0.037896704,0.0,0.11484016,b_plasma
tLung,Fibroblasts,1654,0.07231631,0.0,0.15272948,b_plasma
tLung,MAST cells,1809,0.03749984,0.0,0.0964497,b_plasma
tLung,Myeloid cells,8794,0.064265445,0.0,0.15510288,b_plasma
tLung,T/NK cells,13941,0.058821276,0.0,0.10775802,b_plasma
tLung,,5742,0.0533041,0.0,0.18274896,b_plasma
PE,B lymphocytes,3285,0.011285319,0.0,0.044102814,endothelial
PE,Epithelial cells,396,0.078246765,0.0,0.14100367,endothelial
PE,Myeloid cells,3063,0.13809463,0.13862944,0.1454073,endothelial
PE,T/NK cells,9192,0.0084826695,0.0,0.03456446,endothelial
PE,,4368,0.011949434,0.0,0.04357779,endothelial
mBrain,B lymphocytes,1311,0.031268597,0.0,0.07854507,endothelial
mBrain,Endothelial cells,159,1.7424376,1.5816774,0.92116565,endothelial
mBrain,Epithelial cells,15463,0.034865633,0.0,0.077953175,endothelial
mBrain,Fibroblasts,444,0.16780987,0.13862944,0.17756765,endothelial
mBrain,MAST cells,508,0.004639174,0.0,0.024956565,endothelial
mBrain,Myeloid cells,5657,0.11049921,0.0,0.14310573,endothelial
mBrain,T/NK cells,2683,0.009805562,0.0,0.037991494,endothelial
mBrain,,2835,0.018669054,0.0,0.1691411,endothelial
mLN,B lymphocytes,6062,0.007199797,0.0,0.033198915,endothelial
mLN,Epithelial cells,3053,0.08815645,0.0,0.13643903,endothelial
mLN,Myeloid cells,5442,0.16339824,0.13862944,0.17845717,endothelial
mLN,T/NK cells,5069,0.009015617,0.0,0.036976688,endothelial
mLN,,1819,0.008682426,0.0,0.03553095,endothelial
nLN,B lymphocytes,10584,0.010292179,0.0,0.040777687,endothelial
nLN,Myeloid cells,1288,0.092559285,0.0,0.18399349,endothelial
nLN,T/NK cells,19478,0.0070109256,0.0,0.032120008,endothelial
nLN,,6096,0.008015177,0.0,0.03469386,endothelial
nLung,B lymphocytes,634,0.032980975,0.0,0.07823874,endothelial
nLung,Endothelial cells,1295,0.9626335,0.89996195,0.45037666,endothelial
nLung,Epithelial cells,3703,0.030496052,0.0,0.087009795,endothelial
nLung,Fibroblasts,1585,0.07456115,0.0,0.10191312,endothelial
nLung,MAST cells,1079,0.01785303,0.0,0.071469314,endothelial
nLung,Myeloid cells,16672,0.25795946,0.21972246,0.20217267,endothelial
nLung,T/NK cells,11413,0.010020528,0.0,0.037961468,endothelial
nLung,,6614,0.014334288,0.0,0.07371539,endothelial
tL/B,B lymphocytes,469,0.01914646,0.0,0.062264998,endothelial
tL/B,Epithelial cells,6582,0.05065497,0.0,0.099510975,endothelial
tL/B,Myeloid cells,1329,0.10873055,0.0,0.15162306,endothelial
tL/B,T/NK cells,2627,0.008958137,0.0,0.03480926,endothelial
tL/B,,963,0.0059266496,0.0,0.028711392,endothelial
tLung,B lymphocytes,5312,0.02019015,0.0,0.059903156,endothelial
tLung,Endothelial cells,627,1.236892,1.1869788,0.56515557,endothelial
tLung,Epithelial cells,7270,0.05276006,0.0,0.107870325,endothelial
tLung,Fibroblasts,1654,0.1326065,0.13862944,0.13131659,endothelial
tLung,MAST cells,1809,0.006659952,0.0,0.031054726,endothelial
tLung,Myeloid cells,8794,0.17543602,0.13862944,0.1805756,endothelial
tLung,T/NK cells,13941,0.0070036035,0.0,0.032016072,endothelial
tLung,,5742,0.009631066,0.0,0.06337799,endothelial
PE,B lymphocytes,3285,0.0012907081,0.0,0.013518279,fibroblast
