perturbation_id,axis_id,evidence_type,stage,n_samples,baseline_panel_mean,perturbed_panel_mean,panel_mean_delta_mean,baseline_observed_fraction,perturbed_observed_fraction,observed_fraction_delta_mean
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AAH,11,0.170007502664,0.155401338909,-0.014606163755,0.413889367429,0.412428087019,-0.00146128041
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AIS,14,0.149214315851,0.121051305718,-0.028163010132,0.453811431924,0.455161663529,0.001350231605
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,LUAD,26,0.224291340313,0.179852838965,-0.044438501349,0.519256160663,0.499235757512,-0.020020403151
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,MIA,4,0.011154368645,0.01053516678,-0.000619201865,0.543812510625,0.547809602816,0.003997092191
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,Normal,1,0.031481596921,0.030453506961,-0.00102808996,0.309026662384,0.307099261163,-0.001927401221
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AAH,11,0.170007502664,0.162704420787,-0.007303081877,0.413889367429,0.413218424287,-0.000670943142
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AIS,14,0.149214315851,0.135132810784,-0.014081505066,0.453811431924,0.453784230947,-2.7200977e-05
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,LUAD,26,0.224291340313,0.202072089639,-0.022219250674,0.519256160663,0.512517449618,-0.006738711045
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,MIA,4,0.011154368645,0.010844767713,-0.000309600932,0.543812510625,0.545789740553,0.001977229929
spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,Normal,1,0.031481596921,0.030967551941,-0.00051404498,0.309026662384,0.306135560553,-0.002891101831
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AAH,11,0.170007502664,0.166082182453,-0.003925320211,0.413889367429,0.413000067298,-0.000889300132
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AIS,14,0.149214315851,0.141386596177,-0.007827719673,0.453811431924,0.454602355437,0.000790923513
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,LUAD,26,0.224291340313,0.21579979134,-0.008491548973,0.519256160663,0.521035041658,0.001778880995
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,MIA,4,0.011154368645,0.011002818229,-0.000151550416,0.543812510625,0.544514633975,0.000702123351
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,Normal,1,0.031481596921,0.031250913652,-0.000230683269,0.309026662384,0.310311596531,0.001284934147
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AAH,11,0.170007502664,0.168044842558,-0.001962660106,0.413889367429,0.413098947898,-0.000790419532
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AIS,14,0.149214315851,0.145300456014,-0.003913859837,0.453811431924,0.454185538988,0.000374107064
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,LUAD,26,0.224291340313,0.220045565827,-0.004245774487,0.519256160663,0.519897071884,0.000640911221
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,MIA,4,0.011154368645,0.011078593437,-7.5775208e-05,0.543812510625,0.543189420821,-0.000623089803
spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,Normal,1,0.031481596921,0.031366255287,-0.000115341635,0.309026662384,0.309669129457,0.000642467074
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AAH,11,0.170007502664,0.167742905034,-0.00226459763,0.413889367429,0.413935014756,4.5647327e-05
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AIS,14,0.149214315851,0.137469600343,-0.011744715508,0.453811431924,0.454186085571,0.000374653648
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,LUAD,26,0.224291340313,0.200392800129,-0.023898540185,0.519256160663,0.500171413396,-0.019084747267
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,MIA,4,0.011154368645,0.01096172246,-0.000192646185,0.543812510625,0.543713761591,-9.8749033e-05
spp1_trem2_macrophage_epithelial_gene_SPP1_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,Normal,1,0.031481596921,0.031442666421,-3.89305e-05,0.309026662384,0.308705428847,-0.000321233537
spp1_trem2_macrophage_epithelial_gene_SPP1_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AAH,11,0.170007502664,0.168875203849,-0.001132298815,0.413889367429,0.413938021894,4.8654465e-05
spp1_trem2_macrophage_epithelial_gene_SPP1_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AIS,14,0.149214315851,0.143341958097,-0.005872357754,0.453811431924,0.453707131176,-0.000104300748
spp1_trem2_macrophage_epithelial_gene_SPP1_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,LUAD,26,0.224291340313,0.212342070221,-0.011949270092,0.519256160663,0.512140841945,-0.007115318718
spp1_trem2_macrophage_epithelial_gene_SPP1_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,MIA,4,0.011154368645,0.011058045553,-9.6323093e-05,0.543812510625,0.543784493766,-2.8016858e-05
spp1_trem2_macrophage_epithelial_gene_SPP1_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,Normal,1,0.031481596921,0.031462131671,-1.946525e-05,0.309026662384,0.309026662384,0.0
spp1_trem2_macrophage_epithelial_gene_TREM2_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AAH,11,0.170007502664,0.161591256751,-0.008416245913,0.413889367429,0.411762918644,-0.002126448785
spp1_trem2_macrophage_epithelial_gene_TREM2_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AIS,14,0.149214315851,0.140623740899,-0.008590574951,0.453811431924,0.45328828323,-0.000523148693
spp1_trem2_macrophage_epithelial_gene_TREM2_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,LUAD,26,0.224291340313,0.212242928123,-0.01204841219,0.519256160663,0.518847162302,-0.000408998361
spp1_trem2_macrophage_epithelial_gene_TREM2_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,MIA,4,0.011154368645,0.010879363381,-0.000275005264,0.543812510625,0.545711476018,0.001898965393
spp1_trem2_macrophage_epithelial_gene_TREM2_x0,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,Normal,1,0.031481596921,0.03072312073,-0.000758476191,0.309026662384,0.305814327016,-0.003212335368
spp1_trem2_macrophage_epithelial_gene_TREM2_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AAH,11,0.170007502664,0.165799379707,-0.004208122957,0.413889367429,0.413115158767,-0.000774208663
spp1_trem2_macrophage_epithelial_gene_TREM2_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AIS,14,0.149214315851,0.144919028375,-0.004295287476,0.453811431924,0.453317360354,-0.00049407157
spp1_trem2_macrophage_epithelial_gene_TREM2_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,LUAD,26,0.224291340313,0.218267134218,-0.006024206095,0.519256160663,0.518627649604,-0.00062851106
spp1_trem2_macrophage_epithelial_gene_TREM2_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,MIA,4,0.011154368645,0.011016866013,-0.000137502632,0.543812510625,0.544851825957,0.001039315333
spp1_trem2_macrophage_epithelial_gene_TREM2_x0p5,spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,Normal,1,0.031481596921,0.031102358826,-0.000379238095,0.309026662384,0.3074204947,-0.001606167684
