Sample_Origin,Cell_type.refined,n_cells,mean_expression,median_expression,gene
nLung,T/NK cells,11413,0.07427521,0.0,LST1
nLung,,6614,0.07706195,0.0,LST1
tL/B,B lymphocytes,469,0.10247915,0.0,LST1
tL/B,Epithelial cells,6582,0.027546665,0.0,LST1
tL/B,Myeloid cells,1329,1.346099,1.3862944,LST1
tL/B,T/NK cells,2627,0.049430996,0.0,LST1
tL/B,,963,0.04264456,0.0,LST1
tLung,B lymphocytes,5312,0.08178554,0.0,LST1
tLung,Endothelial cells,627,0.041091274,0.0,LST1
tLung,Epithelial cells,7270,0.06250965,0.0,LST1
tLung,Fibroblasts,1654,0.070043094,0.0,LST1
tLung,MAST cells,1809,0.06261386,0.0,LST1
